time,x,y,yaw,v,w,left_rpm,right_rpm,ref_x,ref_y,ref_yaw,ref_v,ref_w,ref_left_rpm,ref_right_rpm
0,2.50201,0.202015,45.1637,0.28494,0.285714,4.69879,6.69879,3,0,90,0.471239,0.15708,8.875,9.97456
0.01,2.50402,0.204035,45.3274,0.28494,0.285714,4.69879,6.69879,3,0.00471239,90.09,0.471239,0.15708,8.875,9.97456
0.02,2.50603,0.206062,45.4911,0.28494,0.285714,4.69879,6.69879,2.99999,0.00942476,90.18,0.471239,0.15708,8.875,9.97456
0.03,2.50802,0.208094,45.6548,0.28494,0.285714,4.69879,6.69879,2.99997,0.0141371,90.27,0.471239,0.15708,8.875,9.97456
0.04,2.51002,0.210131,45.8185,0.28494,0.285714,4.69879,6.69879,2.99994,0.0188494,90.36,0.471239,0.15708,8.875,9.97456
0.05,2.51206,0.212235,45.9822,0.293305,0.285714,4.86611,6.86611,2.99991,0.0235617,90.45,0.471239,0.15708,8.875,9.97456
0.06,2.5141,0.214344,46.1459,0.293305,0.285714,4.86611,6.86611,2.99987,0.0282739,90.54,0.471239,0.15708,8.875,9.97456
0.07,2.51613,0.216459,46.3096,0.293305,0.285714,4.86611,6.86611,2.99982,0.0329861,90.63,0.471239,0.15708,8.875,9.97456
0.08,2.51816,0.21858,46.4733,0.293305,0.285714,4.86611,6.86611,2.99976,0.0376981,90.72,0.471239,0.15708,8.875,9.97456
0.09,2.52018,0.220707,46.637,0.293305,0.285714,4.86611,6.86611,2.9997,0.0424101,90.81,0.471239,0.15708,8.875,9.97456
0.1,2.52225,0.222898,46.8007,0.301426,0.285714,5.02851,7.02851,2.99963,0.047122,90.9,0.471239,0.15708,8.875,9.97456
0.11,2.52431,0.225095,46.9644,0.301426,0.285714,5.02851,7.02851,2.99955,0.0518337,90.99,0.471239,0.15708,8.875,9.97456
0.12,2.52637,0.227299,47.1281,0.301426,0.285714,5.02851,7.02851,2.99947,0.0565453,91.08,0.471239,0.15708,8.875,9.97456
0.13,2.52842,0.229508,47.2918,0.301426,0.285714,5.02851,7.02851,2.99937,0.0612568,91.17,0.471239,0.15708,8.875,9.97456
