time,x_ref,y_ref,yaw_ref,x,y,yaw,v,w,x_next,y_next,yaw_next
0,3,0,90,2,0,45,64.3489,-140.647,2.45502,0.455015,-35.5846
0.01,3,0.00471239,90.09,2.45502,0.455015,-35.5846,70.2592,-317.318,3.0264,0.0461735,-217.395
0.02,2.99999,0.00942476,90.18,3.0264,0.0461735,-217.395,0.0230803,21.0486,3.02622,0.0463137,-205.335
0.03,2.99997,0.0141371,90.27,3.02622,0.0463137,-205.335,1.80155,514.349,3.00994,0.0540226,89.3653
0.04,2.99994,0.0188494,90.36,3.00994,0.0540226,89.3653,-3.58103,3.27437,3.00954,0.0182146,91.2413
0.05,2.99991,0.0235617,90.45,3.00954,0.0182146,91.2413,1.07326,-6.30683,3.00931,0.0289446,87.6278
0.06,2.99987,0.0282739,90.54,3.00931,0.0289446,87.6278,-1.33542,17.1986,3.00876,0.0156018,97.4819
0.07,2.99982,0.0329861,90.63,3.00876,0.0156018,97.4819,2.13445,-11.9939,3.00598,0.0367647,90.6099
0.08,2.99976,0.0376981,90.72,3.00598,0.0367647,90.6099,-0.783086,12.8447,3.00606,0.0289342,97.9693
0.09,2.9997,0.0424101,90.81,3.00606,0.0289342,97.9693,1.46164,-12.3261,3.00403,0.0434095,90.907
0.1,2.99963,0.047122,90.9,3.00403,0.0434095,90.907,-0.38583,11.1831,3.00409,0.0395517,97.3144
0.11,2.99955,0.0518337,90.99,3.00409,0.0395517,97.3144,1.14985,-11.4047,3.00263,0.0509565,90.78
0.12,2.99947,0.0565453,91.08,3.00263,0.0509565,90.78,-0.0979047,9.81103,3.00264,0.0499776,96.4013
0.13,2.99937,0.0612568,91.17,3.00264,0.0499776,96.4013,0.956085,-10.0128,3.00158,0.0594788,90.6644
0.14,2.99927,0.0659681,91.26,3.00158,0.0594788,90.6644,0.130123,8.04429,3.00156,0.06078,95.2735
0.15,2.99917,0.0706793,91.35,3.00156,0.06078,95.2735,0.818085,-7.89869,3.00081,0.0689262,90.7478
0.16,2.99905,0.0753903,91.44,3.00081,0.0689262,90.7478,0.317442,5.61295,3.00077,0.0721003,93.9638
0.17,2.99893,0.0801011,91.53,3.00077,0.0721003,93.9638,0.709318,-4.9643,3.00028,0.0791765,91.1195
0.18,2.9988,0.0848117,91.62,3.00028,0.0791765,91.1195,0.439464,2.81124,3.00019,0.0835703,92.7302
0.19,2.99866,0.0895221,91.71,3.00019,0.0835703,92.7302,0.586702,-1.97596,2.99991,0.0894307,91.5981
0.2,2.99852,0.0942323,91.8,2.99991,0.0894307,91.5981,0.458389,1.02675,2.99979,0.0940128,92.1863
0.21,2.99837,0.0989422,91.89,2.99979,0.0940128,92.1863,0.499549,-0.43341,2.99959,0.0990047,91.938
0.22,2.99821,0.103652,91.98,2.99959,0.0990047,91.938,0.463746,0.398913,2.99944,0.103639,92.1666
0.23,2.99804,0.108361,92.07,2.99944,0.103639,92.1666,0.477038,0.0117582,2.99926,0.108406,92.1733
0.24,2.99787,0.113071,92.16,2.99926,0.108406,92.1733,0.469074,0.220155,2.99908,0.113094,92.2995
0.25,2.99769,0.117779,92.25,2.99908,0.113094,92.2995,0.472712,0.120557,2.99889,0.117817,92.3685
0.26,2.9975,0.122488,92.34,2.99889,0.117817,92.3685,0.470819,0.172372,2.9987,0.122521,92.4673
0.27,2.9973,0.127196,92.43,2.9987,0.122521,92.4673,0.471745,0.147049,2.99849,0.127234,92.5515
0.28,2.9971,0.131904,92.52,2.99849,0.127234,92.5515,0.471278,0.159991,2.99828,0.131942,92.6432
0.29,2.99689,0.136612,92.61,2.99828,0.131942,92.6432,0.471509,0.153602,2.99807,0.136653,92.7312
0.3,2.99667,0.141319,92.7,2.99807,0.136653,92.7312,0.471392,0.15685,2.99784,0.141361,92.8211
0.31,2.99644,0.146026,92.79,2.99784,0.141361,92.8211,0.471449,0.155251,2.99761,0.14607,92.91
0.32,2.99621,0.150733,92.88,2.99761,0.14607,92.91,0.471419,0.156074,2.99737,0.150778,92.9995
0.33,2.99597,0.155439,92.97,2.99737,0.150778,92.9995,0.471432,0.155681,2.99712,0.155486,93.0887
0.34,2.99572,0.160145,93.06,2.99712,0.155486,93.0887,0.471424,0.155897,2.99687,0.160193,93.178
